id,po_id,po_number,vendor_id,vendor_name,requester_id,requester_name,department_id,department_name,po_date,expected_delivery_date,received_date,currency,payment_term_id,payment_term_name,subtotal,tax,shipping,total,po_status,approval_status,approved_by,approved_at,received_status,shipping_terms,delivery_address,notes,created_at,created_by
11,PO0011,PO-2024-0011,VEND011,Global Supplies Inc,EMP026,Amanda Thomas,DEPT006,Sales,2024-02-06,2024-02-21,2024-02-19,SEK,PT003,Net 30,293874,14693.7,0,308567.7,Partially Received,Approved,EMP018,2024-02-11,Partially Received,CIF,"677 Oak Ave, Los Angeles, TX 20584",Call before delivery,2024-02-06T17:00:00Z,Finance Team
12,PO0012,PO-2026-0012,VEND017,Pinnacle Partners,EMP009,Thomas Brown,DEPT009,Warehouse & Logistics,2026-03-21,2026-04-19,2026-04-17,CHF,PT004,Net 45,382589.76,38258.98,1707.08,422555.82,Pending Approval,Approved,EMP034,2026-03-25,Not Received,CIF,"419 Park Blvd, Houston, TX 24184",Call before delivery,2026-03-21T17:00:00Z,Finance Team
13,PO0013,PO-2026-0013,VEND040,SAP SE,EMP002,Sarah Williams,DEPT002,Procurement,2026-05-20,2026-06-30,None,INR,PT007,2/10 Net 30,255901.83,46062.33,1106.1,303070.26,Partially Received,Approved,EMP031,2026-05-27,Partially Received,Ex-Works,"371 Park Blvd, Houston, AZ 93687",Keep in warehouse,2026-05-20T10:00:00Z,Marketing Team
14,PO0014,PO-2026-0014,VEND014,Modern Office Co,EMP022,Cynthia Lewis,DEPT002,Procurement,2026-01-23,2026-02-27,None,USD,PT004,Net 45,45110.12,0,3754.8,48864.92,Open,Submitted,None,None,Not Received,Ex-Works,"714 Market St, Chicago, NY 55936",Keep in warehouse,2026-01-23T08:00:00Z,Sales Team
15,PO0015,PO-2023-0015,VEND043,Cisco Systems Inc.,EMP036,Kimberly Wright,DEPT006,Sales,2023-11-03,2023-11-24,2023-11-19,GBP,PT007,2/10 Net 30,339689.48,16984.47,0,356673.95,Open,Approved,EMP014,2023-11-10,Not Received,Ex-Works,"704 Market St, Chicago, NY 11086",Keep in warehouse,2023-11-03T12:00:00Z,IT Team
16,PO0016,PO-2023-0016,VEND092,Baldor Electric Company,EMP005,Robert Kim,DEPT005,Human Resources,2023-01-17,2023-02-04,2023-01-31,CHF,PT007,2/10 Net 30,459327.47,0,3650.85,462978.32,Partially Received,Approved,EMP008,2023-01-23,Partially Received,FOB Destination,"211 Market St, Phoenix, IL 95185",,2023-01-17T09:00:00Z,HR Team
17,PO0017,PO-2026-0017,VEND100,ZF Friedrichshafen AG,EMP009,Thomas Brown,DEPT009,Warehouse & Logistics,2026-05-25,2026-06-15,None,USD,PT006,Net 90,439004.32,0,1590.19,440594.51,Closed,Approved,EMP003,2026-05-27,Fully Received,FOB Origin,"994 Park Blvd, Los Angeles, NY 89697",Urgent,2026-05-25T10:00:00Z,IT Team
18,PO0018,PO-2025-0018,VEND025,ABB Ltd,EMP017,Michelle Chen,DEPT007,Marketing,2025-01-18,2025-02-17,2025-02-12,GBP,PT004,Net 45,104640.63,0,0,104640.63,Closed,Submitted,None,None,Fully Received,Ex-Works,"708 Market St, Chicago, CA 34891",Urgent,2025-01-18T16:00:00Z,Sales Team
19,PO0019,PO-2026-0019,VEND008,DHL Express,EMP018,Andrew Kim,DEPT008,Legal & Compliance,2026-12-12,2027-01-08,2027-01-06,INR,PT001,Immediate,426060.13,21303.01,263.51,447626.65,Closed,Approved,EMP028,2026-12-19,Fully Received,FOB Origin,"178 Market St, Chicago, AZ 88772",Call before delivery,2026-12-12T08:00:00Z,Finance Team
20,PO0020,PO-2026-0020,VEND073,AT&T Business,EMP037,Christopher Lee,DEPT007,Marketing,2026-03-19,2026-04-23,2026-04-28,SEK,PT001,Immediate,292067.49,0,0,292067.49,Pending Approval,Approved,EMP022,2026-03-22,Not Received,CIF,"909 Main St, Houston, AZ 80158",Urgent,2026-03-19T13:00:00Z,Procurement Team
21,PO0021,PO-2025-0021,VEND069,ADT Inc.,EMP015,Mark Davis,DEPT005,Human Resources,2025-04-11,2025-05-16,None,EUR,PT007,2/10 Net 30,489572.18,24478.61,0,514050.79,Partially Received,Submitted,None,None,Partially Received,Ex-Works,"572 Market St, Los Angeles, TX 49376",,2025-04-11T14:00:00Z,HR Team
22,PO0022,PO-2025-0022,VEND034,C.H. Robinson Worldwide,EMP031,Charles Robinson,DEPT001,Finance,2025-03-07,2025-04-21,2025-04-18,SEK,PT006,Net 90,74783.58,13461.04,875.14,89119.76,Closed,Approved,EMP010,2025-03-09,Fully Received,FOB Origin,"332 Park Blvd, Chicago, NY 83215",Urgent,2025-03-07T13:00:00Z,IT Team
23,PO0023,PO-2023-0023,VEND057,Ernst & Young LLP,EMP004,Jessica Martinez,DEPT004,Information Technology,2023-12-31,2024-02-11,2024-02-08,INR,PT006,Net 90,374705.67,37470.57,0,412176.24,Open,Submitted,None,None,Not Received,FOB Destination,"254 Market St, Phoenix, IL 24430",Expedite shipping,2023-12-31T09:00:00Z,IT Team
24,PO0024,PO-2025-0024,VEND043,Cisco Systems Inc.,EMP036,Kimberly Wright,DEPT006,Sales,2025-07-29,2025-09-04,2025-09-08,GBP,PT003,Net 30,472375.62,47237.56,0,519613.18,Closed,Approved,EMP029,2025-08-05,Fully Received,CIF,"731 Main St, New York, CA 22701",Expedite shipping,2025-07-29T09:00:00Z,Finance Team
25,PO0025,PO-2024-0025,VEND037,Atlas Air Worldwide,EMP006,Amanda Lee,DEPT006,Sales,2024-01-22,2024-03-01,2024-03-05,CHF,PT005,Net 60,248756.73,44776.21,0,293532.94,Cancelled,Submitted,None,None,Not Received,Ex-Works,"537 Market St, Houston, CA 89503",Urgent,2024-01-22T09:00:00Z,HR Team
26,PO0026,PO-2023-0026,VEND064,Aramark Corporation,EMP010,Patricia Taylor,DEPT010,Executive Management,2023-01-18,2023-02-24,None,EUR,PT003,Net 30,138224.58,0,0,138224.58,Closed,Approved,EMP019,2023-01-25,Fully Received,FOB Destination,"650 Park Blvd, New York, CA 33516",Call before delivery,2023-01-18T16:00:00Z,Procurement Team
27,PO0027,PO-2025-0027,VEND021,Johnson Controls,EMP038,Stephanie Hall,DEPT008,Legal & Compliance,2025-03-03,2025-04-02,None,USD,PT002,Net 15,227237.92,45447.58,0,272685.5,Pending Approval,Approved,EMP033,2025-03-09,Not Received,Ex-Works,"845 Main St, Houston, NY 29541",Call before delivery,2025-03-03T17:00:00Z,Marketing Team
28,PO0028,PO-2026-0028,VEND019,Vanguard Tech,EMP029,Jennifer Lee,DEPT009,Warehouse & Logistics,2026-06-25,2026-07-20,None,USD,PT001,Immediate,361546.71,36154.67,1958.09,399659.47,Closed,Approved,EMP023,2026-06-28,Fully Received,Ex-Works,"518 Park Blvd, Chicago, NY 45211",Keep in warehouse,2026-06-25T10:00:00Z,Finance Team
29,PO0029,PO-2024-0029,VEND034,C.H. Robinson Worldwide,EMP014,Lisa Johnson,DEPT004,Information Technology,2024-08-09,2024-09-11,2024-09-13,SEK,PT002,Net 15,163127.49,0,3853.5,166980.99,Closed,Approved,EMP018,2024-08-16,Fully Received,Ex-Works,"841 Main St, New York, TX 79962",Expedite shipping,2024-08-09T17:00:00Z,HR Team
30,PO0030,PO-2026-0030,VEND041,Salesforce.com Inc.,EMP018,Andrew Kim,DEPT008,Legal & Compliance,2026-09-22,2026-10-27,None,GBP,PT004,Net 45,434713.99,78248.52,1301.47,514263.98,Closed,Submitted,None,None,Fully Received,FOB Origin,"482 Oak Ave, Houston, NY 14885",Urgent,2026-09-22T13:00:00Z,Finance Team
31,PO0031,PO-2025-0031,VEND039,Oracle Corporation,EMP016,Steven Park,DEPT006,Sales,2025-08-25,2025-09-23,2025-09-21,CHF,PT003,Net 30,271785.6,27178.56,0,298964.16,Closed,Approved,EMP018,2025-08-28,Fully Received,FOB Destination,"114 Oak Ave, Chicago, NY 68414",Urgent,2025-08-25T10:00:00Z,Finance Team
32,PO0032,PO-2026-0032,VEND041,Salesforce.com Inc.,EMP038,Stephanie Hall,DEPT008,Legal & Compliance,2026-11-30,2026-12-22,2026-12-24,GBP,PT003,Net 30,158065.71,31613.14,0,189678.85,Closed,Approved,EMP029,2026-12-07,Fully Received,CIF,"537 Market St, Los Angeles, TX 91184",Urgent,2026-11-30T15:00:00Z,Procurement Team
33,PO0033,PO-2023-0033,VEND084,McMaster-Carr,EMP014,Lisa Johnson,DEPT004,Information Technology,2023-10-22,2023-11-14,None,GBP,PT002,Net 15,315857.19,31585.72,0,347442.91,Closed,Draft,None,None,Fully Received,FOB Origin,"841 Park Blvd, Houston, IL 60426",Keep in warehouse,2023-10-22T10:00:00Z,Finance Team
34,PO0034,PO-2025-0034,VEND073,AT&T Business,EMP022,Cynthia Lewis,DEPT002,Procurement,2025-02-06,2025-03-05,2025-03-02,SEK,PT002,Net 15,43742.4,2187.12,0,45929.52,Closed,Approved,EMP019,2025-02-12,Fully Received,Ex-Works,"106 Park Blvd, New York, IL 71021",Urgent,2025-02-06T14:00:00Z,HR Team
35,PO0035,PO-2025-0035,VEND097,Goodyear Tire & Rubber,EMP027,Nancy Davis,DEPT007,Marketing,2025-08-06,2025-08-31,2025-08-29,GBP,PT002,Net 15,401280.14,80256.03,2362.58,483898.75,Closed,Submitted,None,None,Fully Received,FOB Destination,"579 Main St, Los Angeles, TX 87861",Call before delivery,2025-08-06T15:00:00Z,Procurement Team
36,PO0036,PO-2023-0036,VEND048,Cummins Inc.,EMP003,Michael Johnson,DEPT003,Operations,2023-03-23,2023-04-22,2023-04-27,EUR,PT004,Net 45,31595.78,3159.58,3518.37,38273.73,Pending Approval,Approved,EMP031,2023-03-28,Not Received,FOB Origin,"229 Market St, Phoenix, IL 70513",Urgent,2023-03-23T17:00:00Z,Procurement Team
37,PO0037,PO-2023-0037,VEND038,Penske Logistics,EMP036,Kimberly Wright,DEPT006,Sales,2023-05-13,2023-05-29,None,SEK,PT004,Net 45,181031.22,32585.62,3582.15,217198.99,Closed,Approved,EMP038,2023-05-14,Fully Received,FOB Origin,"670 Park Blvd, New York, CA 97957",Urgent,2023-05-13T08:00:00Z,Procurement Team
38,PO0038,PO-2025-0038,VEND037,Atlas Air Worldwide,EMP026,Amanda Thomas,DEPT006,Sales,2025-05-17,2025-06-26,2025-06-26,CHF,PT004,Net 45,51044.22,10208.84,0,61253.06,Open,Approved,EMP020,2025-05-19,Not Received,FOB Destination,"138 Main St, Houston, IL 71573",Expedite shipping,2025-05-17T11:00:00Z,Sales Team
39,PO0039,PO-2026-0039,VEND099,Bridgestone Americas,EMP007,James Wilson,DEPT007,Marketing,2026-08-08,2026-09-21,2026-09-25,USD,PT001,Immediate,495935.81,49593.58,4039.94,549569.33,Closed,Approved,EMP030,2026-08-14,Fully Received,CIF,"733 Oak Ave, Los Angeles, TX 66777",Expedite shipping,2026-08-08T09:00:00Z,IT Team
40,PO0040,PO-2024-0040,VEND009,Office Furniture World,EMP034,Angela Martinez,DEPT004,Information Technology,2024-08-17,2024-09-12,2024-09-12,USD,PT001,Immediate,461561.01,0,0,461561.01,Closed,Approved,EMP020,2024-08-21,Fully Received,CIF,"554 Main St, Los Angeles, CA 56749",,2024-08-17T08:00:00Z,Sales Team
41,PO0041,PO-2023-0041,VEND067,"CBRE Group, Inc.",EMP005,Robert Kim,DEPT005,Human Resources,2023-05-31,2023-06-23,2023-06-24,EUR,PT001,Immediate,63389.41,0,46.27,63435.68,Pending Approval,Approved,EMP017,2023-06-07,Not Received,FOB Destination,"303 Main St, Chicago, CA 22133",,2023-05-31T13:00:00Z,Procurement Team
42,PO0042,PO-2025-0042,VEND048,Cummins Inc.,EMP032,Susan Clark,DEPT002,Procurement,2025-08-29,2025-09-21,2025-09-17,EUR,PT006,Net 90,197424.98,35536.5,0,232961.48,Closed,Approved,EMP015,2025-09-05,Fully Received,CIF,"259 Park Blvd, Los Angeles, NY 12264",Expedite shipping,2025-08-29T10:00:00Z,IT Team
43,PO0043,PO-2024-0043,VEND024,Schneider Electric,EMP002,Sarah Williams,DEPT002,Procurement,2024-08-23,2024-10-01,None,USD,PT007,2/10 Net 30,304624.32,30462.43,0,335086.75,Open,Approved,EMP027,2024-08-27,Not Received,CIF,"103 Market St, Houston, IL 89415",Call before delivery,2024-08-23T11:00:00Z,Finance Team
44,PO0044,PO-2024-0044,VEND077,Spectrum Business,EMP010,Patricia Taylor,DEPT010,Executive Management,2024-05-06,2024-06-02,2024-05-28,SEK,PT004,Net 45,42282.6,0,3330.39,45612.99,Closed,Approved,EMP025,2024-05-11,Fully Received,CIF,"917 Oak Ave, Chicago, TX 35323",Urgent,2024-05-06T09:00:00Z,Marketing Team
45,PO0045,PO-2024-0045,VEND064,Aramark Corporation,EMP034,Angela Martinez,DEPT004,Information Technology,2024-04-05,2024-04-26,2024-04-30,EUR,PT003,Net 30,174196.22,31355.32,1573.27,207124.81,Partially Received,Draft,None,None,Partially Received,CIF,"336 Market St, Phoenix, AZ 97836",,2024-04-05T12:00:00Z,Procurement Team
46,PO0046,PO-2023-0046,VEND026,General Electric,EMP001,David Chen,DEPT001,Finance,2023-10-12,2023-11-24,None,SEK,PT006,Net 90,115035.44,11503.54,3292.05,129831.03,Closed,Approved,EMP036,2023-10-19,Fully Received,Ex-Works,"580 Main St, Phoenix, CA 74188",Call before delivery,2023-10-12T11:00:00Z,HR Team
47,PO0047,PO-2023-0047,VEND073,AT&T Business,EMP031,Charles Robinson,DEPT001,Finance,2023-11-05,2023-12-15,2023-12-12,SEK,PT002,Net 15,10256.89,0,2257.22,12514.11,Partially Received,Submitted,None,None,Partially Received,Ex-Works,"169 Main St, New York, TX 72984",Urgent,2023-11-05T15:00:00Z,Marketing Team
48,PO0048,PO-2025-0048,VEND066,Jones Lang LaSalle,EMP036,Kimberly Wright,DEPT006,Sales,2025-04-13,2025-04-28,2025-04-25,CHF,PT003,Net 30,12252.33,612.62,3458.77,16323.72,Partially Received,Rejected,None,None,Partially Received,FOB Destination,"892 Market St, Los Angeles, TX 57771",Urgent,2025-04-13T08:00:00Z,Marketing Team
49,PO0049,PO-2026-0049,VEND031,FedEx Corporation,EMP016,Steven Park,DEPT006,Sales,2026-08-24,2026-09-21,None,SEK,PT006,Net 90,276691.04,27669.1,2719.55,307079.69,Closed,Approved,EMP040,2026-08-25,Fully Received,FOB Origin,"352 Main St, New York, IL 38358",Keep in warehouse,2026-08-24T13:00:00Z,Sales Team
50,PO0050,PO-2023-0050,VEND058,KPMG LLP,EMP025,Jason Harris,DEPT005,Human Resources,2023-11-16,2023-12-04,2023-12-01,GBP,PT003,Net 30,305634.31,15281.72,2171.54,323087.57,Cancelled,Approved,EMP004,2023-11-23,Not Received,Ex-Works,"820 Park Blvd, Phoenix, IL 54134",Call before delivery,2023-11-16T08:00:00Z,HR Team
51,PO0051,PO-2023-0051,VEND057,Ernst & Young LLP,EMP022,Cynthia Lewis,DEPT002,Procurement,2023-02-20,2023-03-26,2023-03-23,INR,PT005,Net 60,349762.9,69952.58,3022.4,422737.88,Closed,Approved,EMP004,2023-02-24,Fully Received,Ex-Works,"330 Park Blvd, Chicago, NY 51098",,2023-02-20T15:00:00Z,HR Team
52,PO0052,PO-2024-0052,VEND061,Bain & Company,EMP009,Thomas Brown,DEPT009,Warehouse & Logistics,2024-05-09,2024-05-31,2024-05-29,INR,PT002,Net 15,35157.16,7031.43,0,42188.59,Open,Submitted,None,None,Not Received,CIF,"348 Main St, Los Angeles, IL 64823",Keep in warehouse,2024-05-09T15:00:00Z,HR Team
53,PO0053,PO-2023-0053,VEND005,Microsoft Corporation,EMP021,Brian Thompson,DEPT001,Finance,2023-01-04,2023-01-22,None,SEK,PT007,2/10 Net 30,193953.61,0,0,193953.61,Open,Approved,EMP020,2023-01-10,Not Received,FOB Origin,"129 Market St, Los Angeles, NY 24733",Call before delivery,2023-01-04T11:00:00Z,Finance Team
54,PO0054,PO-2026-0054,VEND084,McMaster-Carr,EMP028,Peter Garcia,DEPT008,Legal & Compliance,2026-10-01,2026-10-26,None,GBP,PT007,2/10 Net 30,498445.82,24922.29,4362.66,527730.77,Closed,Draft,None,None,Fully Received,Ex-Works,"443 Market St, Houston, AZ 94260",Urgent,2026-10-01T10:00:00Z,Procurement Team
55,PO0055,PO-2024-0055,VEND023,Caterpillar Inc.,EMP017,Michelle Chen,DEPT007,Marketing,2024-09-03,2024-10-18,2024-10-15,INR,PT002,Net 15,27179.48,2717.95,0,29897.43,Cancelled,Submitted,None,None,Not Received,CIF,"845 Park Blvd, Houston, NY 46825",,2024-09-03T09:00:00Z,IT Team
56,PO0056,PO-2024-0056,VEND023,Caterpillar Inc.,EMP022,Cynthia Lewis,DEPT002,Procurement,2024-11-14,2024-12-23,2024-12-19,INR,PT004,Net 45,270244.48,13512.22,3016.75,286773.45,Closed,Approved,EMP029,2024-11-19,Fully Received,FOB Destination,"604 Oak Ave, Phoenix, CA 64280",Keep in warehouse,2024-11-14T15:00:00Z,Sales Team
57,PO0057,PO-2025-0057,VEND036,Kuehne + Nagel,EMP019,Rachel Rodriguez,DEPT009,Warehouse & Logistics,2025-07-15,2025-08-06,2025-08-04,INR,PT001,Immediate,393970.54,0,0,393970.54,Open,Rejected,None,None,Not Received,CIF,"398 Market St, Chicago, NY 56594",,2025-07-15T08:00:00Z,IT Team
58,PO0058,PO-2023-0058,VEND083,MSC Industrial Direct,EMP011,Daniel Anderson,DEPT001,Finance,2023-03-17,2023-04-01,2023-03-30,SEK,PT003,Net 30,146950.25,29390.05,0,176340.3,Cancelled,Approved,EMP040,2023-03-18,Not Received,FOB Origin,"119 Main St, Chicago, NY 93903",Expedite shipping,2023-03-17T11:00:00Z,Finance Team
59,PO0059,PO-2023-0059,VEND039,Oracle Corporation,EMP016,Steven Park,DEPT006,Sales,2023-03-11,2023-04-24,2023-04-24,CHF,PT005,Net 60,153516.3,7675.81,0,161192.11,Partially Received,Draft,None,None,Partially Received,FOB Destination,"840 Main St, Houston, IL 78645",Expedite shipping,2023-03-11T10:00:00Z,Procurement Team
60,PO0060,PO-2024-0060,VEND065,Sodexo S.A.,EMP022,Cynthia Lewis,DEPT002,Procurement,2024-12-11,2025-01-12,2025-01-12,INR,PT002,Net 15,391231.04,0,0,391231.04,Partially Received,Approved,EMP002,2024-12-13,Partially Received,FOB Origin,"529 Main St, Houston, CA 68197",Urgent,2024-12-11T11:00:00Z,HR Team
61,PO0061,PO-2025-0061,VEND042,"VMware, Inc.",EMP024,Kimberly White,DEPT004,Information Technology,2025-05-04,2025-05-20,None,SEK,PT005,Net 60,486960.04,24348,0,511308.04,Closed,Approved,EMP028,2025-05-09,Fully Received,CIF,"948 Park Blvd, New York, TX 85638",,2025-05-04T11:00:00Z,IT Team
62,PO0062,PO-2025-0062,VEND033,Maersk Line,EMP003,Michael Johnson,DEPT003,Operations,2025-10-15,2025-11-17,2025-11-18,SEK,PT005,Net 60,476620.8,47662.08,0,524282.88,Open,Approved,EMP005,2025-10-17,Not Received,FOB Destination,"621 Market St, Los Angeles, IL 43834",Keep in warehouse,2025-10-15T14:00:00Z,Finance Team
63,PO0063,PO-2024-0063,VEND033,Maersk Line,EMP038,Stephanie Hall,DEPT008,Legal & Compliance,2024-06-27,2024-07-16,2024-07-19,SEK,PT003,Net 30,429587.42,85917.48,3425.41,518930.31,Open,Approved,EMP012,2024-07-02,Not Received,Ex-Works,"515 Market St, Houston, TX 60911",Call before delivery,2024-06-27T15:00:00Z,Finance Team
64,PO0064,PO-2026-0064,VEND042,"VMware, Inc.",EMP030,Elizabeth Miller,DEPT010,Executive Management,2026-12-02,2026-12-25,None,SEK,PT002,Net 15,487663.53,24383.18,4056.67,516103.38,Open,Submitted,None,None,Not Received,FOB Origin,"461 Oak Ave, Houston, AZ 24418",Expedite shipping,2026-12-02T16:00:00Z,Marketing Team
65,PO0065,PO-2023-0065,VEND095,SKF Group,EMP026,Amanda Thomas,DEPT006,Sales,2023-09-15,2023-10-17,2023-10-15,GBP,PT006,Net 90,234724.8,42250.46,0,276975.26,Closed,Approved,EMP002,2023-09-21,Fully Received,CIF,"685 Main St, Los Angeles, AZ 55220",,2023-09-15T09:00:00Z,Marketing Team
66,PO0066,PO-2024-0066,VEND053,S&P Global Inc.,EMP036,Kimberly Wright,DEPT006,Sales,2024-12-19,2025-01-10,2025-01-10,SEK,PT006,Net 90,191749.69,9587.48,4022.59,205359.76,Closed,Approved,EMP016,2024-12-25,Fully Received,FOB Destination,"161 Park Blvd, Houston, IL 10263",Keep in warehouse,2024-12-19T10:00:00Z,Finance Team
67,PO0067,PO-2026-0067,VEND052,Moody's Analytics,EMP013,Kevin Moore,DEPT003,Operations,2026-09-16,2026-10-02,None,GBP,PT003,Net 30,72583.33,7258.33,3535.94,83377.6,Closed,Approved,EMP031,2026-09-17,Fully Received,CIF,"510 Oak Ave, Phoenix, IL 72071",,2026-09-16T12:00:00Z,Finance Team
68,PO0068,PO-2025-0068,VEND100,ZF Friedrichshafen AG,EMP039,David Nguyen,DEPT009,Warehouse & Logistics,2025-07-06,2025-07-27,2025-07-24,USD,PT002,Net 15,16902.08,3380.42,2452.27,22734.77,Closed,Approved,EMP012,2025-07-12,Fully Received,FOB Origin,"943 Park Blvd, Phoenix, CA 50590",Call before delivery,2025-07-06T15:00:00Z,HR Team
69,PO0069,PO-2023-0069,VEND095,SKF Group,EMP028,Peter Garcia,DEPT008,Legal & Compliance,2023-05-04,2023-06-03,2023-05-31,GBP,PT007,2/10 Net 30,90672.54,0,0,90672.54,Partially Received,Approved,EMP036,2023-05-07,Partially Received,Ex-Works,"447 Main St, New York, AZ 23235",Urgent,2023-05-04T10:00:00Z,Finance Team
70,PO0070,PO-2025-0070,VEND068,Securitas AB,EMP033,Timothy Rodriguez,DEPT003,Operations,2025-12-24,2026-01-17,2026-01-18,EUR,PT005,Net 60,331575.33,16578.77,3697.83,351851.93,Partially Received,Submitted,None,None,Partially Received,FOB Destination,"266 Main St, Chicago, AZ 15277",,2025-12-24T14:00:00Z,Sales Team
71,PO0071,PO-2024-0071,VEND076,Comcast Business,EMP019,Rachel Rodriguez,DEPT009,Warehouse & Logistics,2024-02-09,2024-03-06,2024-03-09,GBP,PT004,Net 45,459213.79,22960.69,1868.42,484042.9,Partially Received,Approved,EMP028,2024-02-15,Partially Received,FOB Destination,"388 Main St, Houston, NY 53716",,2024-02-09T14:00:00Z,Marketing Team
72,PO0072,PO-2026-0072,VEND014,Modern Office Co,EMP018,Andrew Kim,DEPT008,Legal & Compliance,2026-11-02,2026-12-16,2026-12-14,USD,PT002,Net 15,122154.31,0,4179.58,126333.89,Open,Approved,EMP024,2026-11-06,Not Received,CIF,"982 Park Blvd, Los Angeles, NY 85646",Call before delivery,2026-11-02T12:00:00Z,Marketing Team
73,PO0073,PO-2023-0073,VEND028,Emerson Electric Co.,EMP037,Christopher Lee,DEPT007,Marketing,2023-07-29,2023-09-12,2023-09-13,INR,PT007,2/10 Net 30,316963.9,15848.19,4151.04,336963.13,Pending Approval,Approved,EMP020,2023-07-30,Not Received,CIF,"646 Park Blvd, Houston, CA 91225",Urgent,2023-07-29T08:00:00Z,HR Team
74,PO0074,PO-2023-0074,VEND029,Rockwell Automation,EMP036,Kimberly Wright,DEPT006,Sales,2023-12-19,2024-01-07,2024-01-04,USD,PT007,2/10 Net 30,173127.88,17312.79,1027.27,191467.94,Open,Rejected,None,None,Not Received,FOB Origin,"739 Oak Ave, Los Angeles, NY 78151",Expedite shipping,2023-12-19T08:00:00Z,Finance Team
75,PO0075,PO-2026-0075,VEND039,Oracle Corporation,EMP025,Jason Harris,DEPT005,Human Resources,2026-03-11,2026-03-29,None,CHF,PT002,Net 15,125544.28,0,2541.73,128086.01,Closed,Draft,None,None,Fully Received,FOB Destination,"242 Market St, New York, TX 49970",Expedite shipping,2026-03-11T10:00:00Z,Sales Team
