id,invoice_id,invoice_number,po_number,po_id,vendor_id,vendor_name,invoice_date,due_date,currency,subtotal,discount,shipping,tax_rate,tax_amount,total,status,payment_status,payment_date,created_by,created_at,approved_by,approved_at,validation_status,validation_errors,ocr_confidence,attachment_name,notes
14,INVREC00014,INV-00014,PO-2026-1357,PO1357,VEND051,Thomson Reuters,2026-11-27,2027-01-11,USD,428484.03,9509.21,3860.81,20,85696.81,518041.65,Paid,Paid,2026-12-04,OCR Workflow,2026-11-27T00:00:00Z,EMP020,2026-11-29,Passed,,90,INV-00014.pdf,Three-way match completed.
15,INVREC00015,INV-00015,PO-2023-0125,PO0125,VEND069,ADT Inc.,2023-10-14,2023-10-29,EUR,268046.09,0,0,5,13402.3,281448.39,Paid,Paid,2023-10-29,System Integration,2023-10-14T00:00:00Z,EMP038,2023-10-19,Passed,,99.6,INV-00015.pdf,Payment pending approval.
16,INVREC00016,INV-00016,PO-2026-1188,PO1188,VEND045,Hewlett Packard Enterprise,2026-08-29,2026-09-28,CHF,398277.15,0,0,10,39827.71,438104.86,Rejected,Unpaid,None,Manual Entry,2026-08-29T00:00:00Z,EMP011,2026-08-30,Passed,,85.7,INV-00016.pdf,Payment pending approval.
17,INVREC00017,INV-00017,PO-2026-0474,PO0474,VEND010,Tech Solutions Ltd,2026-04-17,2026-06-16,USD,97458.34,2120.85,46.48,5,4872.92,102377.74,Paid,Paid,2026-05-02,System Integration,2026-04-17T00:00:00Z,EMP003,2026-04-22,Passed,,99.4,INV-00017.pdf,Invoice under review.
18,INVREC00018,INV-00018,PO-2023-0232,PO0232,VEND098,Michelin North America,2023-06-05,2023-08-04,USD,429733.59,0,1106.75,10,42973.36,473813.7,Paid,Paid,2023-06-17,Manual Entry,2023-06-05T00:00:00Z,EMP016,2023-06-09,Passed,,97,INV-00018.pdf,Invoice under review.
19,INVREC00019,INV-00019,PO-2024-0774,PO0774,VEND026,General Electric,2024-10-08,2024-10-23,SEK,213708.22,0,1849.42,0,0,215557.64,Paid,Paid,2024-10-13,Manual Entry,2024-10-08T00:00:00Z,EMP020,2024-10-09,Passed,,91.6,INV-00019.pdf,Matched successfully against PO.
20,INVREC00020,INV-00020,PO-2026-0487,PO0487,VEND005,Microsoft Corporation,2026-11-27,2026-11-27,SEK,321463.97,16008.3,0,5,16073.2,337537.17,Paid,Paid,2026-11-27,OCR Workflow,2026-11-27T00:00:00Z,EMP040,2026-12-01,Passed,,92.1,INV-00020.pdf,Payment pending approval.
21,INVREC00021,INV-00021,PO-2025-0440,PO0440,VEND069,ADT Inc.,2025-03-23,2025-04-07,EUR,223775.13,0,634.09,10,22377.51,246786.73,Paid,Paid,2025-03-30,Manual Entry,2025-03-23T00:00:00Z,EMP030,2025-03-24,Passed,,88.3,INV-00021.pdf,Three-way match completed.
22,INVREC00022,INV-00022,PO-2026-1375,PO1375,VEND045,Hewlett Packard Enterprise,2026-10-05,2026-10-05,CHF,230191.73,9256.3,0,10,23019.17,253210.9,Paid,Paid,2026-10-05,Manual Entry,2026-10-05T00:00:00Z,EMP039,2026-10-06,Passed,,95.5,INV-00022.pdf,Invoice under review.
23,INVREC00023,INV-00023,PO-2026-1182,PO1182,VEND013,Quick Logistics,2026-11-26,2027-01-25,GBP,171869.11,0,0,18,30936.44,202805.55,Paid,Paid,2026-12-14,Manual Entry,2026-11-26T00:00:00Z,EMP033,2026-11-30,Passed,,94.7,INV-00023.pdf,Matched successfully against PO.
24,INVREC00024,INV-00024,PO-2025-1085,PO1085,VEND092,Baldor Electric Company,2025-08-03,2025-09-17,CHF,487022.42,0,0,20,97404.48,584426.9,Paid,Paid,2025-08-11,System Integration,2025-08-03T00:00:00Z,EMP038,2025-08-08,Passed,,95.1,INV-00024.pdf,Invoice under review.
25,INVREC00025,INV-00025,PO-2024-0645,PO0645,VEND021,Johnson Controls,2024-08-23,2024-09-22,USD,164580.52,0,3204.66,20,32916.1,200701.28,Rejected,Unpaid,None,System Integration,2024-08-23T00:00:00Z,None,None,Rejected,Missing PO reference,86.4,INV-00025.pdf,Ready for payment.
26,INVREC00026,INV-00026,PO-2025-1157,PO1157,VEND052,Moody's Analytics,2025-12-19,2026-02-17,GBP,74979.81,0,0,0,0,74979.81,Rejected,Unpaid,None,System Integration,2025-12-19T00:00:00Z,EMP029,2025-12-24,Passed,,88.9,INV-00026.pdf,Matched successfully against PO.
27,INVREC00027,INV-00027,PO-2024-1370,PO1370,VEND054,"FTI Consulting, Inc.",2024-05-08,2024-07-07,USD,286450.19,0,0,10,28645.02,315095.21,Rejected,Unpaid,None,System Integration,2024-05-08T00:00:00Z,EMP015,2024-05-09,Passed,,85.2,INV-00027.pdf,Matched successfully against PO.
28,INVREC00028,INV-00028,PO-2024-0543,PO0543,VEND078,Cintas Corporation,2024-02-14,2024-04-14,USD,353802.96,0,0,10,35380.3,389183.26,Paid,Paid,2024-02-28,OCR Workflow,2024-02-14T00:00:00Z,EMP006,2024-02-18,Passed,,87.6,INV-00028.pdf,Ready for payment.
29,INVREC00029,INV-00029,PO-2023-0073,PO0073,VEND028,Emerson Electric Co.,2023-08-10,2023-09-09,INR,316963.9,0,4151.04,5,15848.19,336963.13,Paid,Paid,2023-08-12,Manual Entry,2023-08-10T00:00:00Z,EMP005,2023-08-11,Passed,,97.6,INV-00029.pdf,Matched successfully against PO.
30,INVREC00030,INV-00030,PO-2025-1142,PO1142,VEND021,Johnson Controls,2025-06-22,2025-08-21,USD,141883.78,0,0,5,7094.19,148977.97,Paid,Paid,2025-07-06,OCR Workflow,2025-06-22T00:00:00Z,EMP027,2025-06-24,Passed,,93.1,INV-00030.pdf,Payment pending approval.
31,INVREC00031,INV-00031,PO-2025-0377,PO0377,VEND073,AT&T Business,2026-01-05,2026-02-04,SEK,165639.89,0,0,5,8281.99,173921.88,Paid,Paid,2026-01-17,OCR Workflow,2026-01-05T00:00:00Z,EMP007,2026-01-08,Passed,,85.3,INV-00031.pdf,Matched successfully against PO.
32,INVREC00032,INV-00032,PO-2024-0372,PO0372,VEND067,"CBRE Group, Inc.",2024-03-23,2024-04-07,EUR,116801.57,0,0,5,5840.08,122641.65,Rejected,Unpaid,None,System Integration,2024-03-23T00:00:00Z,EMP008,2024-03-24,Passed,,88.7,INV-00032.pdf,Payment pending approval.
33,INVREC00033,INV-00033,PO-2025-0517,PO0517,VEND080,Ecolab Inc.,2025-07-06,2025-08-05,INR,125890.77,3805.44,0,18,22660.34,148551.11,Paid,Paid,2025-07-10,OCR Workflow,2025-07-06T00:00:00Z,EMP004,2025-07-07,Passed,,92.4,INV-00033.pdf,Invoice under review.
34,INVREC00034,INV-00034,PO-2023-0319,PO0319,VEND044,IBM Corporation,2023-01-17,2023-03-18,SEK,448984.69,0,0,18,80817.24,529801.93,Paid,Paid,2023-01-22,OCR Workflow,2023-01-17T00:00:00Z,EMP040,2023-01-23,Passed,,85.1,INV-00034.pdf,Ready for payment.
35,INVREC00035,INV-00035,PO-2024-0903,PO0903,VEND081,Kimberly-Clark Professional,2025-01-12,2025-01-12,SEK,469599.56,0,0,18,84527.92,554127.48,Pending,Unpaid,None,System Integration,2025-01-12T00:00:00Z,None,None,Pending Approval,,99.1,INV-00035.pdf,Ready for payment.
36,INVREC00036,INV-00036,PO-2026-0990,PO0990,VEND036,Kuehne + Nagel,2026-01-18,2026-02-17,INR,469242.34,0,0,10,46924.23,516166.57,Pending,Unpaid,None,OCR Workflow,2026-01-18T00:00:00Z,None,None,Pending Approval,,91.9,INV-00036.pdf,Ready for payment.
37,INVREC00037,INV-00037,PO-2026-1185,PO1185,VEND062,Accenture PLC,2026-09-03,2026-10-03,USD,164405.98,0,0,20,32881.2,197287.18,Paid,Paid,2026-09-10,OCR Workflow,2026-09-03T00:00:00Z,EMP006,2026-09-09,Passed,,91.5,INV-00037.pdf,Matched successfully against PO.
38,INVREC00038,INV-00038,PO-2025-0395,PO0395,VEND055,Deloitte & Touche LLP,2025-09-21,2025-09-21,EUR,201008.56,0,0,0,0,201008.56,Paid,Paid,2025-09-21,Manual Entry,2025-09-21T00:00:00Z,EMP028,2025-09-28,Passed,,97.5,INV-00038.pdf,Invoice under review.
39,INVREC00039,INV-00039,PO-2024-0688,PO0688,VEND068,Securitas AB,2024-06-10,2024-06-10,EUR,130567.51,1932.18,0,20,26113.5,156681.01,Paid,Paid,2024-06-10,Manual Entry,2024-06-10T00:00:00Z,EMP026,2024-06-12,Passed,,89.8,INV-00039.pdf,Ready for payment.
40,INVREC00040,INV-00040,PO-2025-0240,PO0240,VEND041,Salesforce.com Inc.,2025-10-27,2025-11-26,GBP,441637.83,0,0,5,22081.89,463719.72,Pending,Unpaid,None,OCR Workflow,2025-10-27T00:00:00Z,None,None,Pending Approval,,91.4,INV-00040.pdf,Invoice under review.
41,INVREC00041,INV-00041,PO-2026-1453,PO1453,VEND035,Expeditors International,2026-05-28,2026-07-12,GBP,496228.64,0,0,5,24811.43,521040.07,Rejected,Unpaid,None,System Integration,2026-05-28T00:00:00Z,EMP026,2026-05-29,Passed,,94.5,INV-00041.pdf,Ready for payment.
42,INVREC00042,INV-00042,PO-2026-0893,PO0893,VEND025,ABB Ltd,2026-03-01,2026-03-16,GBP,343702.53,6033.92,2551.1,0,0,346253.63,Paid,Paid,2026-03-07,OCR Workflow,2026-03-01T00:00:00Z,EMP014,2026-03-02,Passed,,86.4,INV-00042.pdf,Payment pending approval.
43,INVREC00043,INV-00043,PO-2023-0782,PO0782,VEND071,Waste Management Inc.,2023-09-17,2023-09-17,EUR,215960.32,10023.4,1690.05,18,38872.86,256523.23,Paid,Paid,2023-09-17,System Integration,2023-09-17T00:00:00Z,EMP014,2023-09-21,Passed,,89.8,INV-00043.pdf,Invoice under review.
44,INVREC00044,INV-00044,PO-2023-0363,PO0363,VEND076,Comcast Business,2023-03-12,2023-03-27,GBP,294810,0,3184.66,20,58962,356956.66,Paid,Paid,2023-03-21,System Integration,2023-03-12T00:00:00Z,EMP028,2023-03-16,Passed,,91.8,INV-00044.pdf,Three-way match completed.
45,INVREC00045,INV-00045,PO-2026-0215,PO0215,VEND050,Festo AG & Co. KG,2026-07-07,2026-07-07,INR,293532.38,0,0,0,0,293532.38,Paid,Paid,2026-07-07,System Integration,2026-07-07T00:00:00Z,EMP020,2026-07-14,Passed,,91.8,INV-00045.pdf,Payment pending approval.
46,INVREC00046,INV-00046,PO-2025-0510,PO0510,VEND090,Snap-on Incorporated,2025-09-24,2025-11-23,GBP,378803.39,0,0,20,75760.68,454564.07,Paid,Paid,2025-10-09,System Integration,2025-09-24T00:00:00Z,EMP022,2025-09-25,Passed,,88.7,INV-00046.pdf,Ready for payment.
47,INVREC00047,INV-00047,PO-2026-0750,PO0750,VEND022,Siemens AG,2026-01-31,2026-04-01,USD,284314.91,0,0,5,14215.75,298530.66,Paid,Paid,2026-02-16,Manual Entry,2026-01-31T00:00:00Z,EMP035,2026-02-03,Passed,,99.6,INV-00047.pdf,Ready for payment.
48,INVREC00048,INV-00048,PO-2026-0064,PO0064,VEND042,"VMware, Inc.",2026-12-28,2027-01-12,SEK,487663.53,9324.96,4056.67,5,24383.18,516103.38,Rejected,Unpaid,None,Manual Entry,2026-12-28T00:00:00Z,EMP037,2027-01-02,Passed,,85.4,INV-00048.pdf,Payment pending approval.
49,INVREC00049,INV-00049,PO-2026-0486,PO0486,VEND005,Microsoft Corporation,2026-03-01,2026-04-15,SEK,87955.86,2460.92,2040.19,10,8795.59,98791.64,Paid,Paid,2026-03-15,Manual Entry,2026-03-01T00:00:00Z,EMP029,2026-03-03,Passed,,87.9,INV-00049.pdf,Payment pending approval.
50,INVREC00050,INV-00050,PO-2025-0614,PO0614,VEND042,"VMware, Inc.",2025-07-03,2025-08-17,SEK,112922.01,4096.43,1486.55,5,5646.1,120054.66,Rejected,Unpaid,None,System Integration,2025-07-03T00:00:00Z,EMP012,2025-07-10,Passed,,95.8,INV-00050.pdf,Payment pending approval.
51,INVREC00051,INV-00051,PO-2025-0141,PO0141,VEND051,Thomson Reuters,2025-11-04,2025-12-04,USD,351600.55,12259.76,1373.12,18,63288.1,416261.77,Paid,Paid,2025-11-08,System Integration,2025-11-04T00:00:00Z,EMP038,2025-11-05,Passed,,92.6,INV-00051.pdf,Invoice under review.
52,INVREC00052,INV-00052,PO-2024-0774,PO0774,VEND026,General Electric,2024-10-12,2024-10-27,SEK,213708.22,0,1849.42,0,0,215557.64,Paid,Paid,2024-10-18,Manual Entry,2024-10-12T00:00:00Z,EMP028,2024-10-16,Passed,,86.6,INV-00052.pdf,Three-way match completed.
53,INVREC00053,INV-00053,PO-2026-0656,PO0656,VEND012,Elite Services,2026-10-27,2026-12-11,SEK,256554.32,9546.43,0,18,46179.78,302734.1,Rejected,Unpaid,None,OCR Workflow,2026-10-27T00:00:00Z,EMP012,2026-10-28,Passed,,98.4,INV-00053.pdf,Matched successfully against PO.
54,INVREC00054,INV-00054,PO-2023-1495,PO1495,VEND070,Tyco International,2023-09-29,2023-10-14,GBP,273621.88,0,0,20,54724.38,328346.26,Paid,Paid,2023-10-03,OCR Workflow,2023-09-29T00:00:00Z,EMP017,2023-10-02,Passed,,95.8,INV-00054.pdf,Ready for payment.
55,INVREC00055,INV-00055,PO-2025-0875,PO0875,VEND061,Bain & Company,2025-02-07,2025-02-22,INR,454139.24,0,0,18,81745.06,535884.3,Paid,Paid,2025-02-08,OCR Workflow,2025-02-07T00:00:00Z,EMP036,2025-02-08,Passed,,89,INV-00055.pdf,Three-way match completed.
56,INVREC00056,INV-00056,PO-2025-0517,PO0517,VEND080,Ecolab Inc.,2025-07-07,2025-08-06,INR,125890.77,0,0,18,22660.34,148551.11,Paid,Paid,2025-07-18,OCR Workflow,2025-07-07T00:00:00Z,EMP002,2025-07-10,Passed,,90,INV-00056.pdf,Matched successfully against PO.
57,INVREC00057,INV-00057,PO-2025-0034,PO0034,VEND073,AT&T Business,2025-02-11,2025-02-26,SEK,43742.4,0,0,5,2187.12,45929.52,Paid,Paid,2025-02-25,OCR Workflow,2025-02-11T00:00:00Z,EMP028,2025-02-18,Passed,,93.1,INV-00057.pdf,Matched successfully against PO.
58,INVREC00058,INV-00058,PO-2026-0610,PO0610,VEND035,Expeditors International,2026-08-29,2026-10-28,GBP,58650.29,1624.07,431.7,18,10557.05,69639.04,Paid,Paid,2026-09-11,OCR Workflow,2026-08-29T00:00:00Z,EMP013,2026-09-04,Passed,,90.2,INV-00058.pdf,Three-way match completed.
59,INVREC00059,INV-00059,PO-2024-0354,PO0354,VEND015,Best Buy Corp,2024-12-20,2025-01-19,INR,122214.94,0,2753.74,5,6110.75,131079.43,Paid,Paid,2025-01-01,System Integration,2024-12-20T00:00:00Z,EMP030,2024-12-21,Passed,,92.9,INV-00059.pdf,Matched successfully against PO.
60,INVREC00060,INV-00060,PO-2025-0595,PO0595,VEND099,Bridgestone Americas,2025-05-25,2025-06-24,USD,224469.76,0,2885.09,20,44893.95,272248.8,Paid,Paid,2025-06-02,Manual Entry,2025-05-25T00:00:00Z,EMP013,2025-05-28,Passed,,86.2,INV-00060.pdf,Matched successfully against PO.
61,INVREC00061,INV-00061,PO-2025-1219,PO1219,VEND038,Penske Logistics,2025-03-31,2025-04-30,SEK,336625.01,0,2594.78,0,0,339219.79,Rejected,Unpaid,None,Manual Entry,2025-03-31T00:00:00Z,EMP018,2025-04-02,Passed,,98.6,INV-00061.pdf,Matched successfully against PO.
62,INVREC00062,INV-00062,PO-2026-0856,PO0856,VEND024,Schneider Electric,2026-04-26,2026-06-25,USD,150139.75,0,0,5,7506.99,157646.74,Pending,Unpaid,None,OCR Workflow,2026-04-26T00:00:00Z,None,None,Pending Approval,,85.6,INV-00062.pdf,Invoice under review.
63,INVREC00063,INV-00063,PO-2023-0810,PO0810,VEND088,Makita Corporation,2023-09-30,2023-10-30,CHF,332078.84,0,0,18,59774.19,391853.03,Paid,Paid,2023-10-18,System Integration,2023-09-30T00:00:00Z,EMP005,2023-10-03,Passed,,98.8,INV-00063.pdf,Ready for payment.
64,INVREC00064,INV-00064,PO-2024-0787,PO0787,VEND030,Bosch Rexroth AG,2024-02-23,2024-04-08,CHF,221452.15,0,4028.23,10,22145.22,247625.6,Paid,Paid,2024-03-09,Manual Entry,2024-02-23T00:00:00Z,EMP016,2024-02-24,Passed,,87.6,INV-00064.pdf,Matched successfully against PO.
65,INVREC00065,INV-00065,PO-2026-0116,PO0116,VEND091,Ingersoll Rand,2026-07-14,2026-07-14,GBP,430863.38,0,0,18,77555.41,508418.79,Rejected,Unpaid,None,OCR Workflow,2026-07-14T00:00:00Z,EMP010,2026-07-15,Passed,,86.4,INV-00065.pdf,Ready for payment.
66,INVREC00066,INV-00066,PO-2024-0514,PO0514,VEND073,AT&T Business,2024-06-06,2024-07-06,SEK,161853.88,0,0,20,32370.78,194224.66,Rejected,Unpaid,None,Manual Entry,2024-06-06T00:00:00Z,EMP022,2024-06-09,Passed,,86.7,INV-00066.pdf,Matched successfully against PO.
67,INVREC00067,INV-00067,PO-2026-1383,PO1383,VEND020,Alpha Industries,2026-08-17,2026-09-01,SEK,299724.87,0,1296.59,18,53950.48,354971.94,Paid,Paid,2026-08-21,OCR Workflow,2026-08-17T00:00:00Z,EMP012,2026-08-24,Passed,,86.7,INV-00067.pdf,Payment pending approval.
68,INVREC00068,INV-00068,PO-2026-0094,PO0094,VEND071,Waste Management Inc.,2026-10-13,2026-10-28,EUR,344920.78,0,3658.62,18,62085.74,410665.14,Paid,Paid,2026-10-24,Manual Entry,2026-10-13T00:00:00Z,EMP012,2026-10-19,Passed,,86.2,INV-00068.pdf,Matched successfully against PO.
69,INVREC00069,INV-00069,PO-2026-0094,PO0094,VEND071,Waste Management Inc.,2026-10-12,2026-10-27,EUR,344920.78,0,3658.62,18,62085.74,410665.14,Rejected,Unpaid,None,System Integration,2026-10-12T00:00:00Z,EMP015,2026-10-15,Passed,,97.1,INV-00069.pdf,Matched successfully against PO.
70,INVREC00070,INV-00070,PO-2024-1257,PO1257,VEND028,Emerson Electric Co.,2024-09-24,2024-09-24,INR,467484.1,18710.39,0,5,23374.21,490858.31,Paid,Paid,2024-09-24,OCR Workflow,2024-09-24T00:00:00Z,EMP026,2024-09-28,Passed,,88.6,INV-00070.pdf,Invoice under review.
71,INVREC00071,INV-00071,PO-2025-0912,PO0912,VEND044,IBM Corporation,2025-07-08,2025-08-22,SEK,451413.4,0,0,10,45141.34,496554.74,Paid,Paid,2025-07-28,Manual Entry,2025-07-08T00:00:00Z,EMP014,2025-07-15,Passed,,92.5,INV-00071.pdf,Payment pending approval.
72,INVREC00072,INV-00072,PO-2026-0381,PO0381,VEND075,T-Mobile for Business,2026-06-12,2026-07-12,GBP,314473.98,0,0,0,0,314473.98,Paid,Paid,2026-07-02,Manual Entry,2026-06-12T00:00:00Z,EMP027,2026-06-14,Passed,,92.7,INV-00072.pdf,Ready for payment.
73,INVREC00073,INV-00073,PO-2023-0223,PO0223,VEND095,SKF Group,2023-03-31,2023-04-30,GBP,26547.76,0,2872.52,0,0,29420.28,Pending,Unpaid,None,Manual Entry,2023-03-31T00:00:00Z,None,None,Pending Approval,,92.1,INV-00073.pdf,Three-way match completed.
74,INVREC00074,INV-00074,PO-2026-1124,PO1124,VEND066,Jones Lang LaSalle,2026-10-23,2026-12-22,CHF,32893.87,0,1887.94,20,6578.77,41360.58,Paid,Paid,2026-11-08,System Integration,2026-10-23T00:00:00Z,EMP030,2026-10-25,Passed,,85.8,INV-00074.pdf,Invoice under review.
75,INVREC00075,INV-00075,PO-2024-0339,PO0339,VEND024,Schneider Electric,2024-03-13,2024-03-28,USD,224354,0,2295.09,18,40383.72,267032.81,Paid,Paid,2024-03-17,Manual Entry,2024-03-13T00:00:00Z,EMP007,2024-03-20,Passed,,93.5,INV-00075.pdf,Matched successfully against PO.
76,INVREC00076,INV-00076,PO-2025-1388,PO1388,VEND014,Modern Office Co,2025-02-06,2025-02-21,USD,185074.66,5312.95,3333.58,20,37014.93,225423.17,Paid,Paid,2025-02-19,System Integration,2025-02-06T00:00:00Z,EMP008,2025-02-09,Passed,,89.1,INV-00076.pdf,Matched successfully against PO.
77,INVREC00077,INV-00077,PO-2025-0147,PO0147,VEND035,Expeditors International,2025-10-08,2025-10-08,GBP,225677.87,0,3931.14,18,40622.02,270231.03,Paid,Paid,2025-10-08,Manual Entry,2025-10-08T00:00:00Z,EMP034,2025-10-10,Passed,,85.8,INV-00077.pdf,Invoice under review.
78,INVREC00078,INV-00078,PO-2024-0977,PO0977,VEND017,Pinnacle Partners,2024-09-05,2024-10-05,CHF,399133.37,0,0,10,39913.34,439046.71,Rejected,Unpaid,None,OCR Workflow,2024-09-05T00:00:00Z,EMP004,2024-09-12,Passed,,94.1,INV-00078.pdf,Matched successfully against PO.
79,INVREC00079,INV-00079,PO-2023-0158,PO0158,VEND013,Quick Logistics,2024-01-06,2024-01-06,GBP,269858.55,0,1407.18,10,26985.85,298251.58,Paid,Paid,2024-01-06,OCR Workflow,2024-01-06T00:00:00Z,EMP029,2024-01-13,Passed,,94.6,INV-00079.pdf,Three-way match completed.
80,INVREC00080,INV-00080,PO-2023-0598,PO0598,VEND050,Festo AG & Co. KG,2023-09-03,2023-10-18,INR,446809.38,0,0,5,22340.47,469149.85,Paid,Paid,2023-09-07,Manual Entry,2023-09-03T00:00:00Z,EMP010,2023-09-05,Passed,,90.4,INV-00080.pdf,Invoice under review.
81,INVREC00081,INV-00081,PO-2026-0902,PO0902,VEND002,Samira Hadid,2026-03-03,2026-03-18,INR,278619.73,0,1205.29,0,0,279825.02,Paid,Paid,2026-03-09,System Integration,2026-03-03T00:00:00Z,EMP013,2026-03-06,Passed,,85,INV-00081.pdf,Matched successfully against PO.
82,INVREC00082,INV-00082,PO-2023-1164,PO1164,VEND044,IBM Corporation,2023-08-18,2023-08-18,SEK,194521.47,0,26.51,0,0,194547.98,Paid,Paid,2023-08-18,Manual Entry,2023-08-18T00:00:00Z,EMP006,2023-08-21,Passed,,87.8,INV-00082.pdf,Three-way match completed.
83,INVREC00083,INV-00083,PO-2023-0952,PO0952,VEND063,McDonald's Corporate,2023-10-15,2023-11-29,EUR,60898.22,0,1292.67,0,0,62190.89,Paid,Paid,2023-10-27,OCR Workflow,2023-10-15T00:00:00Z,EMP008,2023-10-20,Passed,,85.6,INV-00083.pdf,Matched successfully against PO.
84,INVREC00084,INV-00084,PO-2025-0861,PO0861,VEND098,Michelin North America,2025-01-22,2025-03-23,USD,429924.02,0,0,20,85984.8,515908.82,Rejected,Unpaid,None,System Integration,2025-01-22T00:00:00Z,EMP004,2025-01-28,Passed,,98.6,INV-00084.pdf,Ready for payment.
85,INVREC00085,INV-00085,PO-2026-1351,PO1351,VEND035,Expeditors International,2026-05-04,2026-06-03,GBP,243996.97,0,4569.44,10,24399.7,272966.11,Paid,Paid,2026-05-15,OCR Workflow,2026-05-04T00:00:00Z,EMP014,2026-05-06,Passed,,90.7,INV-00085.pdf,Invoice under review.
86,INVREC00086,INV-00086,PO-2025-1011,PO1011,VEND001,ABCD & CO,2025-04-05,2025-06-04,SEK,422924.93,0,0,5,21146.25,444071.18,Paid,Paid,2025-04-16,Manual Entry,2025-04-05T00:00:00Z,EMP008,2025-04-11,Passed,,97.9,INV-00086.pdf,Three-way match completed.
