id,invoice_item_id,invoice_id,line_number,item_code,description,quantity,unit,unit_price,discount,tax_rate,tax_amount,line_total,po_number,received_quantity,matching_status,notes
26,INVREC0017-02,INVREC0017,2,BBY-001,Television,4,Unit,114.13,0,10,45.65,456.52,PO-2025-3009,4,Matched,Ready for payment.
27,INVREC0018-01,INVREC0018,1,NH-001,Strategic Consulting,8,Hour,1025.51,0,20,1640.82,8204.08,PO-2025-3010,8,Matched,Three-way match completed.
28,INVREC0018-02,INVREC0018,2,NH-002,Market Analysis,1,Project,6795.92,203.88,20,1359.18,6795.92,PO-2025-3010,1,Matched,Ready for payment.
29,INVREC0019-01,INVREC0019,1,PIN-002,Investment Services,1,Project,5423.58,0,10,542.36,5423.58,PO-2025-3011,1,Matched,Successfully matched against PO.
30,INVREC0019-02,INVREC0019,2,PIN-001,Financial Advisory,10,Hour,357.64,0,10,357.64,3576.42,PO-2025-3011,10,Matched,Goods receipt confirmed.
31,INVREC0020-01,INVREC0020,1,VGT-001,Server Equipment,1,Unit,3008.02,0,10,300.8,3008.02,PO-2025-3013,1,Matched,Goods receipt confirmed.
32,INVREC0020-02,INVREC0020,2,VGT-003,Storage Array,3,Unit,497.33,0,10,149.2,1491.98,PO-2025-3013,3,Matched,Three-way match completed.
33,INVREC0021-01,INVREC0021,1,ALP-001,Heavy Machinery,1,Unit,85483.87,0,5,4274.19,85483.87,PO-2025-3014,1,Matched,Three-way match completed.
34,INVREC0021-02,INVREC0021,2,ALP-002,Spare Parts,3,Box,71505.38,0,5,10725.81,214516.13,PO-2025-3014,3,Matched,Goods receipt confirmed.
35,INVREC0022-01,INVREC0022,1,ABCD-300,Packaging Film,27,Roll,2162.85,0,5,2919.85,58396.95,PO-2025-3016,27,Matched,Successfully matched against PO.
36,INVREC0022-02,INVREC0022,2,ABCD-200,Industrial Fasteners,198,Box,419.85,0,5,4156.49,83129.77,PO-2025-3016,198,Matched,Successfully matched against PO.
37,INVREC0022-03,INVREC0022,3,ABCD-100,Steel Coils,6,Ton,6412.21,3077.86,5,1923.66,38473.28,PO-2025-3016,6,Matched,Goods receipt confirmed.
38,INVREC0023-01,INVREC0023,1,STP-FOLD,Manila Folders,52,Box,4.6,0,6.67,15.95,239.13,PO-2025-3017,52,Matched,Ready for payment.
39,INVREC0023-02,INVREC0023,2,STP-PENS,Ballpoint Pens (Box),21,Box,21.59,0,6.67,30.24,453.42,PO-2025-3017,21,Matched,Validated automatically.
40,INVREC0023-03,INVREC0023,3,STP-INK,Ink Cartridge,25,Each,13.79,0,6.67,22.99,344.72,PO-2025-3017,25,Matched,Matched to purchase order.
41,INVREC0023-04,INVREC0023,4,STP-PAPER,A4 Printer Paper,107,Ream,4.32,0,6.67,30.82,462.73,PO-2025-3017,107,Matched,Successfully matched against PO.
42,INVREC0024-01,INVREC0024,1,DELL-MON,"24"" Monitor",7,Unit,439.19,0,8,245.95,3074.32,PO-2025-3018,7,Matched,Successfully matched against PO.
43,INVREC0024-02,INVREC0024,2,DELL-MS,Mouse,4,Unit,981.42,314.05,8,314.05,3925.68,PO-2025-3018,4,Matched,Successfully matched against PO.
44,INVREC0025-01,INVREC0025,1,GS-002,Logistics Services,5,Shipment,30688.03,0,7.5,11508.01,153440.15,PO-2025-3005,5,Matched,Matched to purchase order.
45,INVREC0025-02,INVREC0025,2,GS-001,Bulk Materials,4,Ton,18114.46,0,7.5,5434.34,72457.85,PO-2025-3005,4,Matched,Goods receipt confirmed.
46,INVREC0026-01,INVREC0026,1,ABCD-100,Steel Coils,7,Ton,19912.09,0,18,25089.23,139384.6,PO-2025-1045,7,Matched,Ready for payment.
47,INVREC0026-02,INVREC0026,2,ABCD-300,Packaging Film,87,Roll,2187.84,15227.39,18,34261.63,190342.4,PO-2025-1045,87,Matched,Matched to purchase order.
48,INVREC0027-01,INVREC0027,1,DELL-MS,Mouse,8,Unit,20731.43,0,0,0,165851.41,PO-2025-2201,8,Matched,Goods receipt confirmed.
49,INVREC0027-02,INVREC0027,2,DELL-LAT,Latitude Laptop,7,Unit,28234.23,0,0,0,197639.59,PO-2025-2201,7,Matched,Successfully matched against PO.
50,INVREC0028-01,INVREC0028,1,ABCD-200,Industrial Fasteners,193,Box,547.24,0,5,5280.9,105617.98,PO-2025-1001,193,Matched,Three-way match completed.
51,INVREC0028-02,INVREC0028,2,ABCD-100,Steel Coils,8,Ton,16713.48,0,5,6685.39,133707.87,PO-2025-1001,8,Matched,Successfully matched against PO.
52,INVREC0028-03,INVREC0028,3,ABCD-300,Packaging Film,49,Roll,3279.06,0,5,8033.71,160674.15,PO-2025-1001,49,Matched,Ready for payment.
53,INVREC0029-01,INVREC0029,1,AMZ-HDMI,HDMI Cable,16,Each,643.71,0,7.5,772.45,10299.33,PO-2025-3002,16,Matched,Goods receipt confirmed.
54,INVREC0029-02,INVREC0029,2,AMZ-STAND,Laptop Stand,4,Each,4586.42,0,7.5,1398.43,18345.67,PO-2025-3002,4,Matched,Ready for payment.
55,INVREC0030-01,INVREC0030,1,SAMI-02,Design Work,5,Hour,31.28,0,0,0,156.41,PO-2025-3015,5,Matched,Three-way match completed.
56,INVREC0030-02,INVREC0030,2,SAMI-01,Consulting Services,10,Hour,34.36,0,0,0,343.59,PO-2025-3015,10,Matched,Validated automatically.
57,INVREC0031-01,INVREC0031,1,MOD-001,Office Desk,8,Unit,6590.91,0,12,6327.27,52727.27,PO-2025-3008,8,Matched,Three-way match completed.
58,INVREC0031-02,INVREC0031,2,MOD-002,Office Chair,13,Unit,5174.83,0,12,8072.73,67272.73,PO-2025-3008,13,Matched,Ready for payment.
59,INVREC0032-01,INVREC0032,1,MS-365,Microsoft 365 Business Premium,97,Seat,18.04,0,0,0,1750,PO-2025-3001,97,Matched,Successfully matched against PO.
60,INVREC0032-02,INVREC0032,2,MS-AZ,Azure Subscription,5,Month,350,0,0,0,1750,PO-2025-3001,5,Matched,Matched to purchase order.
61,INVREC0033-01,INVREC0033,1,SUM-001,Software License,43,User,74.52,0,20,640.91,3204.55,PO-2025-3012,43,Matched,Three-way match completed.
62,INVREC0033-02,INVREC0033,2,SUM-002,Implementation Service,50,Hour,55.91,0,20,559.09,2795.45,PO-2025-3012,50,Matched,Three-way match completed.
63,INVREC0034-01,INVREC0034,1,STP-INK,Ink Cartridge,17,Each,23.41,0,7.5,29.85,397.96,PO-2025-1845,17,Matched,Matched to purchase order.
64,INVREC0034-02,INVREC0034,2,STP-PENS,Ballpoint Pens (Box),93,Box,9.69,0,7.5,67.58,901.04,PO-2025-1845,93,Matched,Validated automatically.
65,INVREC0035-01,INVREC0035,1,OFW-BOOK,Bookshelf,1,Unit,8677.17,0,7.5,650.79,8677.17,PO-2025-2301,1,Matched,Goods receipt confirmed.
66,INVREC0035-02,INVREC0035,2,OFW-DESK,Standing Desk,3,Unit,2174.28,0,7.5,481.71,6522.83,PO-2025-2301,3,Matched,Goods receipt confirmed.
67,INVREC0036-01,INVREC0036,1,DHL-FUEL,Fuel Surcharge,1,Percent,268.93,0,0,0,268.93,PO-2025-3003,1,Matched,Matched to purchase order.
68,INVREC0036-02,INVREC0036,2,DHL-EXP,Express Delivery,4,Shipment,75.36,0,0,0,301.45,PO-2025-3003,4,Matched,Successfully matched against PO.
69,INVREC0036-03,INVREC0036,3,DHL-INT,International Shipping,2,Shipment,144.81,0,0,0,289.62,PO-2025-3003,2,Matched,Goods receipt confirmed.
70,INVREC0037-01,INVREC0037,1,GEN-002,Miscellaneous Supplies,89,Each,59.24,0,20,1054.55,5272.73,PO-2025-3004,89,Matched,Goods receipt confirmed.
71,INVREC0037-02,INVREC0037,2,GEN-001,General Services,44,Hour,107.44,0,20,945.45,4727.27,PO-2025-3004,44,Matched,Validated automatically.
72,INVREC0038-01,INVREC0038,1,ELT-001,Janitorial Services,14,Visit,349.85,0,6.67,326.69,4897.96,PO-2025-3006,14,Matched,Three-way match completed.
73,INVREC0038-02,INVREC0038,2,ELT-002,Facility Maintenance,30,Hour,86.73,0,6.67,173.31,2602.04,PO-2025-3006,30,Matched,Matched to purchase order.
74,INVREC0039-01,INVREC0039,1,QL-002,Courier Services,60,Package,28.85,0,10,173.08,1730.77,PO-2025-3007,60,Matched,Validated automatically.
75,INVREC0039-02,INVREC0039,2,QL-001,Domestic Freight,9,Pallet,141.03,0,10,126.92,1269.23,PO-2025-3007,9,Matched,Successfully matched against PO.
76,INVREC0040-01,INVREC0040,1,BBY-001,Television,3,Unit,259.65,0,10,77.9,778.95,PO-2025-3009,3,Matched,Validated automatically.
77,INVREC0040-02,INVREC0040,2,BBY-002,Audio System,4,Unit,105.26,0,10,42.11,421.05,PO-2025-3009,4,Matched,Matched to purchase order.
78,INVREC0041-01,INVREC0041,1,NH-002,Market Analysis,1,Project,5822.78,0,20,1164.56,5822.78,PO-2025-3010,1,Matched,Validated automatically.
79,INVREC0041-02,INVREC0041,2,NH-001,Strategic Consulting,6,Hour,1529.54,0,20,1835.44,9177.22,PO-2025-3010,6,Matched,Successfully matched against PO.
80,INVREC0042-01,INVREC0042,1,PIN-002,Investment Services,1,Project,3018.99,0,10,301.9,3018.99,PO-2025-3011,1,Matched,Three-way match completed.
81,INVREC0042-02,INVREC0042,2,PIN-001,Financial Advisory,4,Hour,1495.25,0,10,598.1,5981.01,PO-2025-3011,4,Matched,Three-way match completed.
82,INVREC0043-01,INVREC0043,1,VGT-003,Storage Array,1,Unit,3031.09,0,10,303.11,3031.09,PO-2025-3013,1,Matched,Matched to purchase order.
83,INVREC0043-02,INVREC0043,2,VGT-001,Server Equipment,4,Unit,367.23,0,10,146.89,1468.91,PO-2025-3013,4,Matched,Three-way match completed.
84,INVREC0044-01,INVREC0044,1,ALP-001,Heavy Machinery,1,Unit,141758.24,0,5,7087.91,141758.24,PO-2025-3014,1,Matched,Matched to purchase order.
85,INVREC0044-02,INVREC0044,2,ALP-002,Spare Parts,6,Box,26373.63,0,5,7912.09,158241.76,PO-2025-3014,6,Matched,Ready for payment.
86,INVREC0045-01,INVREC0045,1,ABCD-100,Steel Coils,3,Ton,24938.27,0,5,3740.74,74814.82,PO-2025-3016,3,Matched,Successfully matched against PO.
87,INVREC0045-02,INVREC0045,2,ABCD-200,Industrial Fasteners,107,Box,567.67,0,5,3037.04,60740.74,PO-2025-3016,107,Matched,Ready for payment.
88,INVREC0045-03,INVREC0045,3,ABCD-300,Packaging Film,58,Roll,766.28,0,5,2222.22,44444.44,PO-2025-3016,58,Matched,Successfully matched against PO.
89,INVREC0046-01,INVREC0046,1,STP-INK,Ink Cartridge,16,Each,36.63,0,6.67,39.09,586.09,PO-2025-3017,15,Awaiting Approval,Pending goods receipt confirmation.
90,INVREC0046-02,INVREC0046,2,STP-PAPER,A4 Printer Paper,185,Ream,1.42,0,6.67,17.56,263.25,PO-2025-3017,132,Awaiting Approval,Pending goods receipt confirmation.
91,INVREC0046-03,INVREC0046,3,STP-FOLD,Manila Folders,40,Box,16.27,0,6.67,43.35,650.66,PO-2025-3017,31,Awaiting Approval,Pending goods receipt confirmation.
92,INVREC0047-01,INVREC0047,1,DELL-MON,"24"" Monitor",11,Unit,263.86,0,8,232.2,2902.44,PO-2025-3018,10,Awaiting Approval,Pending goods receipt confirmation.
93,INVREC0047-02,INVREC0047,2,DELL-MS,Mouse,37,Unit,110.74,0,8,327.8,4097.56,PO-2025-3018,29,Awaiting Approval,Pending goods receipt confirmation.
94,INVREC0048-01,INVREC0048,1,GS-002,Logistics Services,2,Shipment,57886.36,0,7.5,8682.95,115772.72,PO-2025-3005,2,Awaiting Approval,Pending goods receipt confirmation.
95,INVREC0048-02,INVREC0048,2,GS-001,Bulk Materials,16,Ton,6882.83,0,7.5,8259.4,110125.28,PO-2025-3005,13,Awaiting Approval,Pending goods receipt confirmation.
96,INVREC0049-01,INVREC0049,1,ABCD-300,Packaging Film,27,Roll,2995.42,0,18,14557.76,80876.43,PO-2025-1045,22,Awaiting Approval,Pending goods receipt confirmation.
97,INVREC0049-02,INVREC0049,2,ABCD-100,Steel Coils,4,Ton,38260.78,0,18,27547.76,153043.1,PO-2025-1045,3,Awaiting Approval,Pending goods receipt confirmation.
98,INVREC0049-03,INVREC0049,3,ABCD-200,Industrial Fasteners,55,Box,1741.95,0,18,17245.34,95807.47,PO-2025-1045,44,Awaiting Approval,Pending goods receipt confirmation.
99,INVREC0050-01,INVREC0050,1,DELL-MS,Mouse,22,Unit,4387.67,0,0,0,96528.73,PO-2025-2201,15,Quantity Mismatch,Quantity exceeds PO by 22%.
100,INVREC0050-02,INVREC0050,2,DELL-KB,Keyboard,44,Unit,3976.33,0,0,0,174958.32,PO-2025-2201,30,Price Mismatch,Price differs from PO by 13%.
101,INVREC0050-03,INVREC0050,3,DELL-MON,"24"" Monitor",4,Unit,23000.99,0,0,0,92003.95,PO-2025-2201,3,Quantity Mismatch,Quantity exceeds PO by 16%.
104,INVREC00001-01,INVREC00001,1,IR-001,Compressed Air Systems,5,Unit,34281.49,0,5,8570.37,171407.47,PO-2023-1103,5,Matched,Goods receipt confirmed.
105,INVREC00001-02,INVREC00001,2,IR-002,Air Tools,9,Unit,14879.12,0,5,6695.6,133912.09,PO-2023-1103,9,Matched,Validated automatically.
106,INVREC00002-01,INVREC00002,1,GEN-001,General Services,11,Hour,4978.39,0,5,2738.12,54762.31,PO-2026-0474,9,Awaiting Approval,Pending goods receipt confirmation.
107,INVREC00002-02,INVREC00002,2,GEN-002,Miscellaneous Supplies,93,Each,459.1,0,5,2134.8,42696.03,PO-2026-0474,70,Awaiting Approval,Pending goods receipt confirmation.
108,INVREC00003-01,INVREC00003,1,DHL-FUEL,Fuel Surcharge,1,Percent,129410.79,0,5,6470.54,129410.79,PO-2026-0019,1,Matched,Matched to purchase order.
109,INVREC00003-02,INVREC00003,2,DHL-EXP,Express Delivery,1,Shipment,296649.34,0,5,14832.47,296649.34,PO-2026-0019,1,Matched,Validated automatically.
110,INVREC00004-01,INVREC00004,1,SEC-002,Access Control Systems,2,Unit,61455.83,0,0,0,122911.65,PO-2025-0735,2,Matched,Successfully matched against PO.
111,INVREC00004-02,INVREC00004,2,SEC-001,Security Guard Services,86,Hour,1971.32,0,0,0,169533.32,PO-2025-0735,86,Matched,Ready for payment.
112,INVREC00005-01,INVREC00005,1,ORC-001,Database License,4,Processor,45894.93,0,0,0,183579.72,PO-2026-0821,4,Matched,Ready for payment.
113,INVREC00005-02,INVREC00005,2,ORC-002,Cloud Services,3,Month,52772.15,0,0,0,158316.46,PO-2026-0821,3,Matched,Validated automatically.
114,INVREC00006-01,INVREC00006,1,MIC-002,Fleet Services,2,Month,8655.99,0,20,3462.39,17311.97,PO-2026-0871,2,Matched,Successfully matched against PO.
115,INVREC00006-02,INVREC00006,2,MIC-001,Truck Tires,36,Unit,610.36,0,20,4394.58,21972.88,PO-2026-0871,36,Matched,Ready for payment.
116,INVREC00007-01,INVREC00007,1,SCH-001,Energy Management,2,System,68624.16,0,10,13724.83,137248.32,PO-2024-0043,2,Matched,Matched to purchase order.
117,INVREC00007-02,INVREC00007,2,SCH-002,Electrical Components,24,Unit,6974,0,10,16737.6,167376,PO-2024-0043,24,Matched,Goods receipt confirmed.
118,INVREC00008-01,INVREC00008,1,WWG-001,MRO Supplies,14,Box,15127.4,0,20,42356.72,211783.59,PO-2024-0086,14,Matched,Successfully matched against PO.
119,INVREC00008-02,INVREC00008,2,WWG-002,HVAC Parts,7,Unit,40727.61,0,20,57018.66,285093.3,PO-2024-0086,7,Matched,Matched to purchase order.
120,INVREC00009-01,INVREC00009,1,SPG-002,Ratings Services,2,Project,145773.13,0,10,29154.63,291546.25,PO-2025-1092,2,Awaiting Approval,Pending goods receipt confirmation.
121,INVREC00009-02,INVREC00009,2,SPG-001,Market Data Subscription,2,Month,92120.52,0,10,18424.1,184241.03,PO-2025-1092,1,Awaiting Approval,Pending goods receipt confirmation.
122,INVREC00010-01,INVREC00010,1,TMO-001,Mobile Plans,22,Line,3462.48,0,10,7617.46,76174.56,PO-2024-0450,22,Matched,Three-way match completed.
123,INVREC00010-02,INVREC00010,2,TMO-002,IoT Services,494,Device,205.6,0,10,10156.61,101566.08,PO-2024-0450,494,Matched,Successfully matched against PO.
124,INVREC00011-01,INVREC00011,1,IR-001,Compressed Air Systems,1,Unit,68579.18,0,20,13715.84,68579.18,PO-2023-0454,1,Matched,Matched to purchase order.
125,INVREC00011-02,INVREC00011,2,IR-002,Air Tools,4,Unit,10937.2,0,20,8749.76,43748.78,PO-2023-0454,4,Matched,Successfully matched against PO.
126,INVREC00012-01,INVREC00012,1,REG-001,Motion Control,2,Unit,123570.31,0,20,49428.12,247140.62,PO-2023-1445,2,Matched,Ready for payment.
127,INVREC00012-02,INVREC00012,2,REG-002,Power Transmission,6,Unit,35698.09,0,20,42837.71,214188.53,PO-2023-1445,6,Matched,Ready for payment.
128,INVREC00013-01,INVREC00013,1,BRI-002,Tire Services,1,Month,15943.55,0,20,3188.71,15943.55,PO-2025-0352,1,Matched,Goods receipt confirmed.
129,INVREC00013-02,INVREC00013,2,BRI-001,Tires,5,Unit,4099.77,0,20,4099.77,20498.84,PO-2025-0352,5,Matched,Successfully matched against PO.
130,INVREC00014-01,INVREC00014,1,THO-002,Tax Software,4,User,57680.54,13843.33,20,43375.77,230722.17,PO-2026-1357,4,Matched,Matched to purchase order.
131,INVREC00014-02,INVREC00014,2,THO-001,Legal Research Software,9,User,21973.54,0,20,42321.04,197761.86,PO-2026-1357,9,Matched,Matched to purchase order.
132,INVREC00015-01,INVREC00015,1,ADT-001,Security Monitoring,2,Month,58546.91,0,5,5854.69,117093.82,PO-2023-0125,2,Matched,Goods receipt confirmed.
133,INVREC00015-02,INVREC00015,2,ADT-002,Alarm Systems,1,Unit,150952.27,0,5,7547.61,150952.27,PO-2023-0125,1,Matched,Matched to purchase order.
134,INVREC00016-01,INVREC00016,1,HPE-001,Server,7,Unit,37468.58,0,10,26228.01,262280.07,PO-2026-1188,7,Matched,Three-way match completed.
135,INVREC00016-02,INVREC00016,2,HPE-002,Storage Array,1,Unit,135997.08,0,10,13599.71,135997.08,PO-2026-1188,1,Matched,Validated automatically.
136,INVREC00017-01,INVREC00017,1,GEN-002,Miscellaneous Supplies,84,Each,578.1,0,5,2428.03,48560.56,PO-2026-0474,84,Matched,Validated automatically.
137,INVREC00017-02,INVREC00017,2,GEN-001,General Services,4,Hour,12224.45,0,5,2444.89,48897.78,PO-2026-0474,4,Matched,Validated automatically.
138,INVREC00018-01,INVREC00018,1,MIC-001,Truck Tires,13,Unit,22037.62,0,10,28648.91,286489.06,PO-2023-0232,13,Matched,Three-way match completed.
139,INVREC00018-02,INVREC00018,2,MIC-002,Fleet Services,6,Month,23874.09,0,10,14324.45,143244.53,PO-2023-0232,6,Matched,Matched to purchase order.
140,INVREC00019-01,INVREC00019,1,GE-002,Medical Equipment,1,Unit,63115.9,0,0,0,63115.9,PO-2024-0774,1,Matched,Matched to purchase order.
141,INVREC00019-02,INVREC00019,2,GE-001,Power Generation,1,Unit,150592.32,0,0,0,150592.32,PO-2024-0774,1,Matched,Ready for payment.
142,INVREC00020-01,INVREC00020,1,MS-365,Microsoft 365 Business Premium,122,Seat,1897.16,0,5,11572.7,231454.06,PO-2026-0487,122,Matched,Ready for payment.
143,INVREC00020-02,INVREC00020,2,MS-PBI,Power BI Pro,32,Seat,2812.81,0,5,4500.5,90009.91,PO-2026-0487,32,Matched,Goods receipt confirmed.
144,INVREC00021-01,INVREC00021,1,ADT-001,Security Monitoring,4,Month,31805.6,0,10,12722.24,127222.41,PO-2025-0440,4,Matched,Matched to purchase order.
145,INVREC00021-02,INVREC00021,2,ADT-002,Alarm Systems,3,Unit,32184.24,0,10,9655.27,96552.72,PO-2025-0440,3,Matched,Goods receipt confirmed.
146,INVREC00022-01,INVREC00022,1,HPE-002,Storage Array,3,Unit,38497.13,0,10,11549.14,115491.38,PO-2026-1375,3,Matched,Goods receipt confirmed.
147,INVREC00022-02,INVREC00022,2,HPE-001,Server,5,Unit,22940.07,0,10,11470.04,114700.35,PO-2026-1375,5,Matched,Validated automatically.
148,INVREC00023-01,INVREC00023,1,QL-001,Domestic Freight,34,Pallet,2170.34,0,18,13282.49,73791.63,PO-2026-1182,34,Matched,Three-way match completed.
149,INVREC00023-02,INVREC00023,2,QL-002,Courier Services,95,Package,1032.39,0,18,17653.95,98077.48,PO-2026-1182,95,Matched,Validated automatically.
150,INVREC00024-01,INVREC00024,1,BAL-002,Drives,4,Unit,85228.92,0,20,68183.14,340915.69,PO-2025-1085,4,Matched,Goods receipt confirmed.
151,INVREC00024-02,INVREC00024,2,BAL-001,Electric Motors,8,Unit,18263.34,8766.4,20,29221.34,146106.73,PO-2025-1085,8,Matched,Successfully matched against PO.
152,INVREC00025-01,INVREC00025,1,JCI-001,HVAC System,3,Unit,25457.99,0,20,15274.79,76373.97,PO-2024-0645,3,Missing PO,Invoice has no purchase order.
153,INVREC00025-02,INVREC00025,2,JCI-002,Building Automation,1,System,88206.55,2646.2,20,17641.31,88206.55,PO-2024-0645,1,Vendor Mismatch,Vendor does not match purchase order.
154,INVREC00026-01,INVREC00026,1,MOO-002,Financial Data Service,2,Month,23750.15,0,0,0,47500.3,PO-2025-1157,2,Matched,Validated automatically.
155,INVREC00026-02,INVREC00026,2,MOO-001,Credit Risk Software,6,User,4579.92,0,0,0,27479.51,PO-2025-1157,6,Matched,Goods receipt confirmed.
156,INVREC00027-01,INVREC00027,1,FTI-001,Forensic Accounting,24,Hour,5576.39,5353.33,10,12848,133833.29,PO-2024-1370,24,Matched,Goods receipt confirmed.
157,INVREC00027-02,INVREC00027,2,FTI-002,Expert Witness Services,1,Project,152616.9,0,10,15797.02,152616.9,PO-2024-1370,1,Matched,Successfully matched against PO.
158,INVREC00028-01,INVREC00028,1,CIN-002,Floor Mats,12,Month,14741.79,0,10,17690.15,176901.48,PO-2024-0543,12,Matched,Ready for payment.
159,INVREC00028-02,INVREC00028,2,CIN-001,Uniforms Rental,31,Month,5706.5,0,10,17690.15,176901.48,PO-2024-0543,31,Matched,Goods receipt confirmed.
160,INVREC00029-01,INVREC00029,1,EMR-002,Valves & Actuators,18,Unit,9782.84,0,5,8804.55,176091.06,PO-2023-0073,18,Matched,Successfully matched against PO.
161,INVREC00029-02,INVREC00029,2,EMR-001,Process Control,2,Unit,70436.42,0,5,7043.64,140872.84,PO-2023-0073,2,Matched,Validated automatically.
162,INVREC00030-01,INVREC00030,1,JCI-002,Building Automation,2,System,33009.7,0,5,3300.97,66019.39,PO-2025-1142,2,Matched,Matched to purchase order.
163,INVREC00030-02,INVREC00030,2,JCI-001,HVAC System,5,Unit,15172.88,0,5,3793.22,75864.39,PO-2025-1142,5,Matched,Goods receipt confirmed.
164,INVREC00031-01,INVREC00031,1,ATT-002,Internet Services,12,Month,4627.7,2776.62,5,2637.79,55532.45,PO-2025-0377,12,Matched,Ready for payment.
165,INVREC00031-02,INVREC00031,2,ATT-001,Phone Services,50,Line,2202.15,5505.37,5,5644.2,110107.44,PO-2025-0377,50,Matched,Successfully matched against PO.
166,INVREC00032-01,INVREC00032,1,CBRE-001,Commercial Real Estate,2,Project,18442.36,0,5,1844.24,36884.71,PO-2024-0372,2,Matched,Validated automatically.
167,INVREC00032-02,INVREC00032,2,CBRE-002,Property Valuation,3,Project,26638.95,7192.52,5,3995.84,79916.86,PO-2024-0372,3,Matched,Three-way match completed.
168,INVREC00033-01,INVREC00033,1,ECO-001,Cleaning Chemicals,18,Case,5010.58,0,18,16234.27,90190.4,PO-2025-0517,18,Matched,Goods receipt confirmed.
169,INVREC00033-02,INVREC00033,2,ECO-002,Sanitation Services,4,Month,8925.09,0,18,6426.07,35700.37,PO-2025-0517,4,Matched,Successfully matched against PO.
170,INVREC00034-01,INVREC00034,1,IBM-002,Consulting Services,13,Hour,13633.14,0,18,31901.54,177230.8,PO-2023-0319,13,Matched,Validated automatically.
171,INVREC00034-02,INVREC00034,2,IBM-001,Mainframe Hardware,2,Unit,135876.95,0,18,48915.7,271753.89,PO-2023-0319,2,Matched,Three-way match completed.
172,INVREC00035-01,INVREC00035,1,KMB-001,Paper Towels,8,Case,31491.39,0,18,45347.6,251931.09,PO-2024-0903,6,Awaiting Approval,Pending goods receipt confirmation.
173,INVREC00035-02,INVREC00035,2,KMB-002,Sanitary Products,3,Case,72556.16,15236.79,18,39180.32,217668.47,PO-2024-0903,3,Awaiting Approval,Pending goods receipt confirmation.
174,INVREC00036-01,INVREC00036,1,KUN-001,Supply Chain Management,5,Month,37045.45,7409.09,10,17781.81,185227.24,PO-2026-0990,5,Awaiting Approval,Pending goods receipt confirmation.
175,INVREC00036-02,INVREC00036,2,KUN-002,Air Freight,5,Shipment,56803.02,0,10,29142.42,284015.1,PO-2026-0990,4,Awaiting Approval,Pending goods receipt confirmation.
